year,month,dayofyear,weekday,hour,rate_of_change,wind_chill,rel_hum_,rain,snow,created,is_holiday
2016,7,183,4,0,-2.0,16.1,74.0,0.0,0.0,0,1
2016,7,183,4,1,1.0,16.7,68.0,0.0,0.0,0,1
2016,7,183,4,2,1.0,15.4,77.0,0.0,0.0,0,1
2016,7,183,4,3,1.0,15.1,72.0,0.0,0.0,0,1
2016,7,183,4,4,-1.0,16.5,69.0,0.0,0.0,0,1
2016,7,183,4,5,0.0,16.7,75.0,0.0,0.0,1,1
2016,7,183,4,6,0.0,17.2,78.0,0.0,0.0,1,1
2016,7,183,4,7,0.0,17.5,82.0,0.0,0.0,1,1
2016,7,183,4,8,0.0,17.4,85.0,1.0,0.0,1,1
2016,7,183,4,9,0.0,17.6,81.0,1.0,0.0,1,1
2016,7,183,4,10,1.0,18.6,78.0,0.0,0.0,0,1
2016,7,183,4,11,0.0,17.4,84.0,0.0,0.0,0,1
2016,7,183,4,12,-1.0,18.1,81.0,0.0,0.0,0,1
2016,7,183,4,13,0.0,18.3,81.0,0.0,0.0,0,1
2016,7,183,4,14,0.0,18.6,89.0,1.0,0.0,1,1
2016,7,183,4,15,-1.0,22.3,52.0,0.0,0.0,0,1
2016,7,183,4,16,-4.0,22.7,52.0,0.0,0.0,0,1
2016,7,183,4,17,-1.0,20.8,60.0,0.0,0.0,0,1
2016,7,183,4,18,-1.0,21.0,56.0,0.0,0.0,0,1
2016,7,183,4,19,2.0,19.9,60.0,0.0,0.0,0,1
2016,7,183,4,20,-1.0,18.1,70.0,0.0,0.0,0,1
2016,7,183,4,21,0.0,16.8,69.0,0.0,0.0,0,1
2016,7,183,4,22,5.0,16.3,72.0,0.0,0.0,0,1
2016,7,183,4,23,-1.0,16.0,70.0,0.0,0.0,0,1
2016,7,184,5,0,-2.0,15.4,72.0,0.0,0.0,0,0
2016,7,184,5,1,-1.0,14.9,73.0,0.0,0.0,0,0
2016,7,184,5,2,-3.0,14.3,75.0,0.0,0.0,0,0
2016,7,184,5,3,10.0,14.4,75.0,0.0,0.0,0,0
2016,7,184,5,4,-1.0,14.1,76.0,0.0,0.0,0,0
2016,7,184,5,5,-1.0,13.8,77.0,0.0,0.0,0,0
2016,7,184,5,6,0.0,14.8,74.0,0.0,0.0,1,0
2016,7,184,5,7,-1.0,17.1,61.0,0.0,0.0,0,0
2016,7,184,5,8,-1.0,15.0,79.0,0.0,0.0,0,0
2016,7,184,5,9,0.0,17.3,68.0,0.0,0.0,1,0
2016,7,184,5,10,0.0,22.2,49.0,0.0,0.0,1,0
2016,7,184,5,11,1.0,23.4,42.0,0.0,0.0,0,0
2016,7,184,5,12,-1.0,24.3,39.0,0.0,0.0,0,0
2016,7,184,5,13,-4.0,24.3,36.0,0.0,0.0,0,0
2016,7,184,5,14,-3.0,24.9,37.0,0.0,0.0,0,0
2016,7,184,5,15,3.0,25.4,35.0,0.0,0.0,0,0
2016,7,184,5,16,-1.0,24.8,35.0,0.0,0.0,0,0
2016,7,184,5,17,-1.0,24.9,35.0,0.0,0.0,0,0
2016,7,184,5,18,7.0,24.7,34.0,0.0,0.0,0,0
2016,7,184,5,19,-2.0,23.9,35.0,0.0,0.0,0,0
2016,7,184,5,20,0.0,22.1,40.0,0.0,0.0,0,0
2016,7,184,5,21,-3.0,18.6,51.0,0.0,0.0,0,0
2016,7,184,5,22,4.0,18.0,54.0,0.0,0.0,0,0
2016,7,184,5,23,1.0,18.5,53.0,0.0,0.0,0,0
2016,7,185,6,0,0.0,14.4,70.0,0.0,0.0,1,0
2016,7,185,6,1,-2.0,13.8,72.0,0.0,0.0,0,0
2016,7,185,6,2,2.0,13.6,74.0,0.0,0.0,0,0
2016,7,185,6,3,-2.0,17.4,57.0,0.0,0.0,0,0
2016,7,185,6,4,-2.0,12.9,78.0,0.0,0.0,0,0
2016,7,185,6,5,2.0,11.4,89.0,0.0,0.0,0,0
2016,7,185,6,6,-2.0,16.7,65.0,0.0,0.0,0,0
2016,7,185,6,7,0.0,19.0,59.0,0.0,0.0,1,0
2016,7,185,6,8,0.0,16.4,74.0,0.0,0.0,1,0
2016,7,185,6,9,0.0,17.2,73.0,0.0,0.0,1,0
2016,7,185,6,10,0.0,18.2,68.0,0.0,0.0,1,0
2016,7,185,6,11,0.0,19.8,61.0,0.0,0.0,1,0
2016,7,185,6,12,-2.0,21.0,55.0,0.0,0.0,0,0
2016,7,185,6,13,0.0,20.7,59.0,0.0,0.0,0,0
2016,7,185,6,14,-3.0,20.0,60.0,0.0,0.0,0,0
2016,7,185,6,15,3.0,21.4,56.0,0.0,0.0,0,0
2016,7,185,6,16,-1.0,21.8,52.0,0.0,0.0,0,0
2016,7,185,6,17,-2.0,21.9,52.0,0.0,0.0,0,0
2016,7,185,6,18,-1.0,20.2,63.0,0.0,0.0,0,0
2016,7,185,6,19,-1.0,20.7,56.0,0.0,0.0,0,0
2016,7,185,6,20,-6.0,18.4,68.0,0.0,0.0,0,0
2016,7,185,6,21,8.0,24.2,39.0,0.0,0.0,0,0
2016,7,185,6,22,-5.0,23.5,41.0,0.0,0.0,0,0
2016,7,185,6,23,4.0,22.7,43.0,0.0,0.0,0,0
2016,7,186,0,0,6.0,17.0,68.0,0.0,0.0,0,0
2016,7,186,0,1,1.0,15.6,72.0,0.0,0.0,0,0
2016,7,186,0,2,-3.0,15.2,73.0,0.0,0.0,0,0
2016,7,186,0,3,-3.0,15.5,71.0,0.0,0.0,0,0
2016,7,186,0,4,0.0,13.8,81.0,0.0,0.0,1,0
2016,7,186,0,5,0.0,13.8,81.0,0.0,0.0,1,0
2016,7,186,0,6,0.0,14.4,84.0,0.0,0.0,1,0
2016,7,186,0,7,0.0,16.0,75.0,0.0,0.0,1,0
2016,7,186,0,8,0.0,19.5,70.0,0.0,0.0,1,0
2016,7,186,0,9,-1.0,18.2,69.0,0.0,0.0,0,0
2016,7,186,0,10,-3.0,20.4,62.0,0.0,0.0,0,0
2016,7,186,0,11,17.0,22.4,51.0,0.0,0.0,0,0
2016,7,186,0,12,6.0,23.0,54.0,0.0,0.0,0,0
2016,7,186,0,13,5.0,23.5,47.0,0.0,0.0,0,0
2016,7,186,0,14,2.0,23.9,46.0,0.0,0.0,0,0
2016,7,186,0,15,-3.0,23.9,44.0,0.0,0.0,0,0
2016,7,186,0,16,0.0,21.4,62.0,0.0,0.0,0,0
2016,7,186,0,17,3.0,21.3,59.0,0.0,0.0,0,0
2016,7,186,0,18,1.0,21.4,59.0,0.0,0.0,0,0
2016,7,186,0,19,-6.0,20.4,60.0,0.0,0.0,0,0
2016,7,186,0,20,-18.0,19.6,62.0,0.0,0.0,0,0
2016,7,186,0,21,-6.0,19.0,68.0,0.0,0.0,0,0
2016,7,186,0,22,0.0,19.3,64.0,0.0,0.0,0,0
2016,7,186,0,23,1.0,18.3,72.0,0.0,0.0,0,0
2016,7,187,1,0,2.0,19.5,68.0,0.0,0.0,0,0
2016,7,187,1,1,3.0,19.9,64.0,0.0,0.0,0,0
2016,7,187,1,2,-2.0,20.8,63.0,0.0,0.0,0,0
2016,7,187,1,3,-5.0,19.5,69.0,0.0,0.0,0,0
2016,7,187,1,4,0.0,19.0,65.0,0.0,0.0,1,0
2016,7,187,1,5,2.0,17.4,77.0,0.0,0.0,0,0
2016,7,187,1,6,0.0,17.0,82.0,0.0,0.0,1,0
2016,7,187,1,7,0.0,21.1,58.0,0.0,0.0,1,0
2016,7,187,1,8,0.0,20.5,64.0,0.0,0.0,1,0
2016,7,187,1,9,-1.0,21.1,67.0,0.0,0.0,0,0
2016,7,187,1,10,-1.0,21.3,65.0,0.0,0.0,0,0
2016,7,187,1,11,8.0,24.3,56.0,0.0,0.0,0,0
2016,7,187,1,12,1.0,24.4,57.0,0.0,0.0,0,0
2016,7,187,1,13,4.0,26.9,51.0,0.0,0.0,0,0
2016,7,187,1,14,4.0,26.3,52.0,0.0,0.0,0,0
2016,7,187,1,15,-4.0,23.2,63.0,0.0,0.0,0,0
2016,7,187,1,16,3.0,23.8,67.0,0.0,0.0,0,0
2016,7,187,1,17,0.0,24.7,61.0,0.0,0.0,0,0
2016,7,187,1,18,2.0,29.8,42.0,0.0,0.0,0,0
2016,7,187,1,19,-10.0,28.6,47.0,0.0,0.0,0,0
2016,7,187,1,20,-18.0,27.4,48.0,0.0,0.0,0,0
2016,7,187,1,21,2.0,26.7,50.0,0.0,0.0,0,0
2016,7,187,1,22,-2.0,25.1,55.0,0.0,0.0,0,0
2016,7,187,1,23,5.0,21.0,71.0,0.0,0.0,0,0
2016,7,188,2,0,1.0,19.4,77.0,0.0,0.0,0,0
2016,7,188,2,1,-2.0,18.5,82.0,0.0,0.0,0,0
2016,7,188,2,2,3.0,18.3,83.0,0.0,0.0,0,0
2016,7,188,2,3,-4.0,18.2,83.0,0.0,0.0,0,0
2016,7,188,2,4,-2.0,17.6,87.0,0.0,0.0,0,0
2016,7,188,2,5,0.0,16.8,89.0,0.0,0.0,1,0
2016,7,188,2,6,-3.0,18.9,86.0,0.0,0.0,0,0
2016,7,188,2,7,0.0,19.2,83.0,0.0,0.0,1,0
2016,7,188,2,8,0.0,20.5,80.0,0.0,0.0,1,0
2016,7,188,2,9,-2.0,22.9,77.0,0.0,0.0,0,0
2016,7,188,2,10,1.0,24.9,67.0,0.0,0.0,0,0
2016,7,188,2,11,10.0,26.3,65.0,0.0,0.0,0,0
2016,7,188,2,12,3.0,27.2,59.0,0.0,0.0,0,0
2016,7,188,2,13,2.0,28.0,57.0,0.0,0.0,0,0
2016,7,188,2,14,2.0,28.4,53.0,0.0,0.0,0,0
2016,7,188,2,15,1.0,28.4,53.0,0.0,0.0,0,0
2016,7,188,2,16,3.0,28.2,54.0,0.0,0.0,0,0
2016,7,188,2,17,-1.0,24.8,67.0,0.0,0.0,0,0
2016,7,188,2,18,1.0,23.4,68.0,0.0,0.0,0,0
2016,7,188,2,19,-6.0,22.1,72.0,0.0,0.0,0,0
2016,7,188,2,20,-16.0,21.1,77.0,0.0,0.0,0,0
2016,7,188,2,21,3.0,21.4,75.0,0.0,0.0,0,0
2016,7,188,2,22,3.0,20.4,79.0,0.0,0.0,0,0
2016,7,188,2,23,1.0,21.7,79.0,0.0,0.0,0,0
2016,7,189,3,0,-2.0,19.6,86.0,0.0,0.0,0,0
2016,7,189,3,1,3.0,19.6,86.0,0.0,0.0,0,0
2016,7,189,3,2,3.0,19.2,88.0,0.0,0.0,0,0
2016,7,189,3,3,1.0,18.6,91.0,0.0,0.0,0,0
2016,7,189,3,4,1.0,19.2,91.0,0.0,0.0,0,0
2016,7,189,3,5,0.0,18.2,94.0,0.0,0.0,1,0
2016,7,189,3,6,0.0,18.2,95.0,0.0,0.0,1,0
2016,7,189,3,7,0.0,18.7,94.0,0.0,0.0,1,0
2016,7,189,3,8,0.0,19.9,91.0,0.0,0.0,1,0
2016,7,189,3,9,-4.0,20.9,88.0,0.0,0.0,0,0
2016,7,189,3,10,-2.0,22.6,82.0,0.0,0.0,0,0
2016,7,189,3,11,10.0,23.4,79.0,0.0,0.0,0,0
2016,7,189,3,12,0.0,26.0,73.0,0.0,0.0,0,0
2016,7,189,3,13,3.0,27.8,67.0,0.0,0.0,0,0
2016,7,189,3,14,1.0,24.5,78.0,0.0,0.0,0,0
2016,7,189,3,15,0.0,26.8,72.0,0.0,0.0,1,0
2016,7,189,3,16,0.0,26.9,68.0,0.0,0.0,0,0
2016,7,189,3,17,-1.0,28.3,61.0,0.0,0.0,0,0
2016,7,189,3,18,0.0,27.0,68.0,0.0,0.0,0,0
2016,7,189,3,19,2.0,26.3,69.0,0.0,0.0,0,0
2016,7,189,3,20,-18.0,25.1,75.0,0.0,0.0,0,0
2016,7,189,3,21,-6.0,27.3,59.0,0.0,0.0,0,0
2016,7,189,3,22,1.0,26.2,61.0,0.0,0.0,0,0
2016,7,189,3,23,-2.0,25.5,64.0,0.0,0.0,0,0
2016,7,190,4,0,-1.0,24.6,67.0,0.0,0.0,0,0
2016,7,190,4,1,-5.0,24.4,69.0,0.0,0.0,0,0
2016,7,190,4,2,3.0,21.2,81.0,0.0,0.0,0,0
2016,7,190,4,3,-1.0,20.4,85.0,0.0,0.0,0,0
2016,7,190,4,4,0.0,19.7,88.0,0.0,0.0,1,0
2016,7,190,4,5,-1.0,21.6,85.0,0.0,0.0,0,0
2016,7,190,4,6,0.0,21.8,85.0,1.0,0.0,1,0
2016,7,190,4,7,0.0,20.7,92.0,1.0,0.0,1,0
2016,7,190,4,8,0.0,22.6,80.0,0.0,0.0,1,0
2016,7,190,4,9,-1.0,21.8,88.0,0.0,0.0,0,0
2016,7,190,4,10,-2.0,22.0,87.0,0.0,0.0,0,0
2016,7,190,4,11,1.0,22.1,86.0,0.0,0.0,0,0
2016,7,190,4,12,11.0,22.6,84.0,0.0,0.0,0,0
2016,7,190,4,13,-2.0,22.9,82.0,0.0,0.0,0,0
2016,7,190,4,14,-1.0,23.0,83.0,0.0,0.0,0,0
2016,7,190,4,15,-4.0,21.4,90.0,0.0,0.0,0,0
2016,7,190,4,16,1.0,22.5,88.0,0.0,0.0,0,0
2016,7,190,4,17,3.0,22.7,88.0,0.0,0.0,0,0
2016,7,190,4,18,-1.0,22.2,88.0,0.0,0.0,0,0
2016,7,190,4,19,-11.0,20.7,94.0,0.0,0.0,0,0
2016,7,190,4,20,-14.0,21.0,92.0,0.0,0.0,0,0
2016,7,190,4,21,-6.0,21.0,95.0,1.0,0.0,0,0
2016,7,190,4,22,-2.0,21.4,92.0,0.0,0.0,0,0
2016,7,190,4,23,7.0,20.4,87.0,0.0,0.0,0,0
2016,7,191,5,0,1.0,20.5,90.0,0.0,0.0,0,0
2016,7,191,5,1,-1.0,19.8,95.0,0.0,0.0,0,0
2016,7,191,5,2,0.0,20.3,95.0,0.0,0.0,0,0
2016,7,191,5,3,0.0,19.0,97.0,0.0,0.0,1,0
2016,7,191,5,4,1.0,18.1,98.0,0.0,0.0,0,0
2016,7,191,5,5,0.0,19.0,93.0,0.0,0.0,1,0
2016,7,191,5,6,-1.0,19.8,87.0,0.0,0.0,0,0
2016,7,191,5,7,0.0,19.0,91.0,0.0,0.0,1,0
2016,7,191,5,8,0.0,21.5,78.0,0.0,0.0,1,0
2016,7,191,5,9,0.0,23.8,62.0,0.0,0.0,1,0
2016,7,191,5,10,-2.0,24.6,55.0,0.0,0.0,0,0
2016,7,191,5,11,-2.0,25.3,52.0,0.0,0.0,0,0
2016,7,191,5,12,-1.0,24.6,53.0,0.0,0.0,0,0
2016,7,191,5,13,-3.0,23.6,63.0,0.0,0.0,0,0
2016,7,191,5,14,0.0,25.4,57.0,0.0,0.0,0,0
2016,7,191,5,15,4.0,25.5,52.0,0.0,0.0,0,0
2016,7,191,5,16,0.0,24.5,56.0,0.0,0.0,0,0
2016,7,191,5,17,-2.0,20.8,83.0,1.0,0.0,0,0
2016,7,191,5,18,-3.0,21.1,82.0,1.0,0.0,0,0
2016,7,191,5,19,2.0,21.6,84.0,0.0,0.0,0,0
2016,7,191,5,20,-3.0,21.8,79.0,0.0,0.0,0,0
2016,7,191,5,21,0.0,21.9,75.0,0.0,0.0,0,0
2016,7,191,5,22,-1.0,20.8,83.0,0.0,0.0,0,0
2016,7,191,5,23,2.0,20.7,77.0,0.0,0.0,0,0
2016,7,192,6,0,-4.0,20.3,78.0,0.0,0.0,0,0
2016,7,192,6,1,3.0,19.9,80.0,0.0,0.0,0,0
2016,7,192,6,2,-2.0,18.8,80.0,0.0,0.0,0,0
2016,7,192,6,3,2.0,18.3,81.0,0.0,0.0,0,0
2016,7,192,6,4,-1.0,18.2,78.0,0.0,0.0,0,0
2016,7,192,6,5,0.0,18.0,77.0,0.0,0.0,0,0
2016,7,192,6,6,0.0,18.5,75.0,0.0,0.0,1,0
2016,7,192,6,7,0.0,19.9,70.0,0.0,0.0,0,0
2016,7,192,6,8,0.0,21.7,61.0,0.0,0.0,1,0
2016,7,192,6,9,-1.0,22.8,57.0,0.0,0.0,0,0
2016,7,192,6,10,-2.0,23.7,53.0,0.0,0.0,0,0
2016,7,192,6,11,9.0,25.1,48.0,0.0,0.0,0,0
2016,7,192,6,12,9.0,26.3,43.0,0.0,0.0,0,0
2016,7,192,6,13,2.0,27.1,39.0,0.0,0.0,0,0
2016,7,192,6,14,4.0,26.0,53.0,0.0,0.0,0,0
2016,7,192,6,15,1.0,24.1,58.0,0.0,0.0,0,0
2016,7,192,6,16,2.0,24.8,53.0,0.0,0.0,0,0
2016,7,192,6,17,-4.0,23.7,55.0,0.0,0.0,0,0
2016,7,192,6,18,-4.0,23.6,58.0,0.0,0.0,0,0
2016,7,192,6,19,-14.0,21.3,70.0,0.0,0.0,0,0
2016,7,192,6,20,-20.0,21.1,67.0,0.0,0.0,0,0
2016,7,192,6,21,-8.0,19.3,77.0,0.0,0.0,0,0
2016,7,192,6,22,-7.0,19.7,72.0,0.0,0.0,0,0
2016,7,192,6,23,-10.0,18.3,80.0,0.0,0.0,0,0
2016,7,193,0,0,-1.0,18.8,77.0,0.0,0.0,0,0
2016,7,193,0,1,5.0,18.5,77.0,0.0,0.0,0,0
2016,7,193,0,2,3.0,20.8,58.0,0.0,0.0,0,0
2016,7,193,0,3,8.0,18.8,74.0,0.0,0.0,0,0
2016,7,193,0,4,-1.0,19.2,78.0,0.0,0.0,0,0
2016,7,193,0,5,2.0,19.1,87.0,0.0,0.0,0,0
2016,7,193,0,6,0.0,19.0,90.0,0.0,0.0,1,0
2016,7,193,0,7,0.0,19.9,84.0,0.0,0.0,1,0
2016,7,193,0,8,-1.0,20.6,86.0,0.0,0.0,0,0
2016,7,193,0,9,-3.0,20.4,87.0,0.0,0.0,0,0
2016,7,193,0,10,-2.0,21.1,82.0,0.0,0.0,0,0
2016,7,193,0,11,1.0,21.9,78.0,0.0,0.0,0,0
2016,7,193,0,12,21.0,22.6,72.0,0.0,0.0,0,0
2016,7,193,0,13,3.0,21.5,76.0,0.0,0.0,0,0
2016,7,193,0,14,12.0,21.2,77.0,0.0,0.0,0,0
2016,7,193,0,15,11.0,22.7,68.0,0.0,0.0,0,0
2016,7,193,0,16,0.0,22.0,72.0,0.0,0.0,0,0
2016,7,193,0,17,2.0,21.3,69.0,0.0,0.0,0,0
2016,7,193,0,18,-5.0,21.0,67.0,0.0,0.0,0,0
2016,7,193,0,19,-6.0,20.7,68.0,0.0,0.0,0,0
2016,7,193,0,20,-24.0,20.3,69.0,0.0,0.0,0,0
2016,7,193,0,21,-31.0,20.0,77.0,0.0,0.0,0,0
2016,7,193,0,22,-12.0,19.9,75.0,0.0,0.0,0,0
2016,7,193,0,23,-7.0,19.9,79.0,0.0,0.0,0,0
2016,7,194,1,0,1.0,20.4,78.0,0.0,0.0,0,0
2016,7,194,1,1,3.0,20.4,78.0,0.0,0.0,0,0
2016,7,194,1,2,2.0,20.0,82.0,0.0,0.0,0,0
2016,7,194,1,3,-1.0,20.0,79.0,0.0,0.0,0,0
2016,7,194,1,4,0.0,20.0,82.0,0.0,0.0,1,0
2016,7,194,1,5,0.0,19.9,83.0,0.0,0.0,1,0
2016,7,194,1,6,0.0,19.9,86.0,0.0,0.0,1,0
2016,7,194,1,7,-1.0,20.2,86.0,0.0,0.0,0,0
2016,7,194,1,8,0.0,20.8,85.0,0.0,0.0,1,0
2016,7,194,1,9,-5.0,21.9,80.0,0.0,0.0,0,0
2016,7,194,1,10,-4.0,22.6,77.0,0.0,0.0,0,0
2016,7,194,1,11,-3.0,23.2,74.0,0.0,0.0,0,0
2016,7,194,1,12,11.0,25.0,67.0,0.0,0.0,0,0
2016,7,194,1,13,10.0,23.9,74.0,0.0,0.0,0,0
2016,7,194,1,14,9.0,23.3,76.0,0.0,0.0,0,0
2016,7,194,1,15,6.0,24.0,73.0,0.0,0.0,0,0
2016,7,194,1,16,2.0,24.5,72.0,0.0,0.0,0,0
2016,7,194,1,17,-5.0,24.2,72.0,0.0,0.0,0,0
2016,7,194,1,18,-1.0,23.9,74.0,0.0,0.0,0,0
2016,7,194,1,19,-10.0,23.4,74.0,0.0,0.0,0,0
2016,7,194,1,20,-8.0,23.1,76.0,0.0,0.0,0,0
2016,7,194,1,21,-30.0,23.3,75.0,0.0,0.0,0,0
2016,7,194,1,22,-11.0,23.4,75.0,0.0,0.0,0,0
2016,7,194,1,23,-1.0,23.0,76.0,0.0,0.0,0,0
2016,7,195,2,0,0.0,23.1,76.0,0.0,0.0,0,0
2016,7,195,2,1,-4.0,22.3,80.0,0.0,0.0,0,0
2016,7,195,2,2,-1.0,21.9,82.0,0.0,0.0,0,0
2016,7,195,2,3,3.0,22.1,80.0,0.0,0.0,0,0
2016,7,195,2,4,1.0,21.8,80.0,0.0,0.0,0,0
2016,7,195,2,5,0.0,20.6,87.0,0.0,0.0,1,0
2016,7,195,2,6,0.0,21.3,86.0,0.0,0.0,1,0
2016,7,195,2,7,0.0,22.6,84.0,0.0,0.0,1,0
2016,7,195,2,8,0.0,23.0,85.0,0.0,0.0,1,0
2016,7,195,2,9,-4.0,24.6,79.0,0.0,0.0,0,0
2016,7,195,2,10,-2.0,24.9,76.0,0.0,0.0,0,0
2016,7,195,2,11,4.0,25.7,73.0,0.0,0.0,0,0
2016,7,195,2,12,-4.0,26.6,76.0,0.0,0.0,0,0
2016,7,195,2,13,4.0,27.4,72.0,0.0,0.0,0,0
2016,7,195,2,14,5.0,26.4,75.0,0.0,0.0,0,0
2016,7,195,2,15,4.0,26.4,73.0,0.0,0.0,0,0
2016,7,195,2,16,-3.0,26.5,70.0,0.0,0.0,0,0
2016,7,195,2,17,1.0,26.3,69.0,0.0,0.0,0,0
2016,7,195,2,18,1.0,25.6,70.0,0.0,0.0,0,0
2016,7,195,2,19,-11.0,25.3,69.0,0.0,0.0,0,0
2016,7,195,2,20,-11.0,24.1,75.0,0.0,0.0,0,0
2016,7,195,2,21,-2.0,22.2,84.0,0.0,0.0,0,0
2016,7,195,2,22,-4.0,22.3,83.0,0.0,0.0,0,0
2016,7,195,2,23,-2.0,22.0,86.0,0.0,0.0,0,0
2016,7,196,3,0,-1.0,22.9,84.0,1.0,0.0,0,0
2016,7,196,3,1,1.0,20.6,96.0,0.0,0.0,0,0
2016,7,196,3,2,1.0,20.3,96.0,0.0,0.0,0,0
2016,7,196,3,3,2.0,20.5,95.0,0.0,0.0,0,0
2016,7,196,3,4,0.0,21.0,92.0,0.0,0.0,1,0
2016,7,196,3,5,0.0,21.1,94.0,0.0,0.0,1,0
2016,7,196,3,6,0.0,20.6,95.0,0.0,0.0,1,0
2016,7,196,3,7,0.0,20.9,94.0,0.0,0.0,1,0
2016,7,196,3,8,0.0,20.8,96.0,0.0,0.0,1,0
2016,7,196,3,9,-3.0,21.1,95.0,0.0,0.0,0,0
2016,7,196,3,10,-3.0,22.4,89.0,0.0,0.0,0,0
2016,7,196,3,11,0.0,22.9,87.0,0.0,0.0,0,0
2016,7,196,3,12,0.0,22.5,87.0,0.0,0.0,0,0
2016,7,196,3,13,-5.0,25.0,78.0,0.0,0.0,0,0
2016,7,196,3,14,3.0,24.8,79.0,0.0,0.0,0,0
2016,7,196,3,15,1.0,23.8,76.0,0.0,0.0,0,0
2016,7,196,3,16,-1.0,24.4,77.0,0.0,0.0,0,0
2016,7,196,3,17,2.0,23.9,76.0,0.0,0.0,0,0
2016,7,196,3,18,-4.0,23.0,79.0,0.0,0.0,0,0
2016,7,196,3,19,-5.0,22.5,85.0,0.0,0.0,0,0
2016,7,196,3,20,-10.0,21.9,79.0,1.0,0.0,0,0
2016,7,196,3,21,-10.0,21.8,85.0,0.0,0.0,0,0
2016,7,196,3,22,-2.0,19.7,91.0,0.0,0.0,0,0
2016,7,196,3,23,3.0,19.8,91.0,0.0,0.0,0,0
2016,7,197,4,0,-1.0,20.1,94.0,0.0,0.0,0,0
2016,7,197,4,1,1.0,20.6,92.0,0.0,0.0,0,0
2016,7,197,4,2,-3.0,19.7,96.0,0.0,0.0,0,0
2016,7,197,4,3,0.0,19.4,96.0,0.0,0.0,1,0
2016,7,197,4,4,-6.0,19.3,94.0,0.0,0.0,0,0
2016,7,197,4,5,-1.0,18.9,95.0,0.0,0.0,0,0
2016,7,197,4,6,0.0,19.7,93.0,0.0,0.0,1,0
2016,7,197,4,7,-2.0,20.0,91.0,0.0,0.0,0,0
2016,7,197,4,8,0.0,21.2,85.0,0.0,0.0,1,0
2016,7,197,4,9,0.0,21.8,82.0,0.0,0.0,1,0
2016,7,197,4,10,0.0,23.6,72.0,0.0,0.0,0,0
2016,7,197,4,11,3.0,24.8,63.0,0.0,0.0,0,0
2016,7,197,4,12,9.0,23.7,67.0,0.0,0.0,0,0
2016,7,197,4,13,-1.0,24.6,62.0,0.0,0.0,0,0
2016,7,197,4,14,1.0,24.1,65.0,0.0,0.0,0,0
2016,7,197,4,15,2.0,25.1,53.0,0.0,0.0,0,0
2016,7,197,4,16,1.0,25.4,51.0,0.0,0.0,0,0
2016,7,197,4,17,0.0,24.9,53.0,0.0,0.0,0,0
2016,7,197,4,18,-2.0,23.2,55.0,0.0,0.0,0,0
2016,7,197,4,19,-8.0,22.2,59.0,0.0,0.0,0,0
2016,7,197,4,20,-8.0,20.9,62.0,0.0,0.0,0,0
2016,7,197,4,21,-6.0,20.2,64.0,0.0,0.0,0,0
2016,7,197,4,22,-4.0,18.0,76.0,0.0,0.0,0,0
2016,7,197,4,23,-3.0,17.7,73.0,0.0,0.0,0,0
2016,7,198,5,0,-3.0,17.4,72.0,0.0,0.0,0,0
2016,7,198,5,1,-3.0,17.0,73.0,0.0,0.0,0,0
2016,7,198,5,2,0.0,17.2,72.0,0.0,0.0,0,0
2016,7,198,5,3,0.0,16.9,72.0,0.0,0.0,0,0
2016,7,198,5,4,3.0,16.7,71.0,0.0,0.0,0,0
2016,7,198,5,5,5.0,16.1,73.0,0.0,0.0,0,0
2016,7,198,5,6,0.0,15.6,73.0,0.0,0.0,1,0
2016,7,198,5,7,0.0,16.0,70.0,0.0,0.0,1,0
2016,7,198,5,8,0.0,16.3,71.0,0.0,0.0,1,0
2016,7,198,5,9,0.0,16.6,71.0,0.0,0.0,1,0
2016,7,198,5,10,0.0,16.9,73.0,0.0,0.0,1,0
2016,7,198,5,11,-2.0,18.0,71.0,0.0,0.0,0,0
2016,7,198,5,12,2.0,17.8,72.0,0.0,0.0,0,0
2016,7,198,5,13,1.0,18.6,73.0,0.0,0.0,0,0
2016,7,198,5,14,0.0,18.8,71.0,0.0,0.0,0,0
2016,7,198,5,15,1.0,18.5,74.0,0.0,0.0,0,0
2016,7,198,5,16,0.0,19.9,66.0,0.0,0.0,0,0
2016,7,198,5,17,1.0,20.1,63.0,0.0,0.0,0,0
2016,7,198,5,18,1.0,20.4,62.0,0.0,0.0,0,0
2016,7,198,5,19,1.0,19.4,74.0,0.0,0.0,0,0
2016,7,198,5,20,-4.0,18.8,77.0,0.0,0.0,0,0
2016,7,198,5,21,-2.0,18.5,82.0,0.0,0.0,0,0
2016,7,198,5,22,0.0,18.5,77.0,0.0,0.0,0,0
2016,7,198,5,23,-3.0,19.2,75.0,0.0,0.0,0,0
2016,7,199,6,0,-4.0,18.4,78.0,0.0,0.0,0,0
2016,7,199,6,1,-4.0,18.1,81.0,0.0,0.0,0,0
2016,7,199,6,2,-1.0,17.5,76.0,0.0,0.0,0,0
2016,7,199,6,3,0.0,16.4,84.0,0.0,0.0,0,0
2016,7,199,6,4,5.0,17.3,74.0,0.0,0.0,0,0
2016,7,199,6,5,4.0,16.7,75.0,0.0,0.0,0,0
2016,7,199,6,6,-2.0,16.7,76.0,0.0,0.0,0,0
2016,7,199,6,7,0.0,18.8,69.0,0.0,0.0,1,0
2016,7,199,6,8,0.0,18.4,72.0,0.0,0.0,1,0
